Neighbor info at step 0: radial(max=142,actual=104), angular(max=23,actual=14).
Neighbor info at step 1000: radial(max=142,actual=115), angular(max=23,actual=18).
Neighbor info at step 2000: radial(max=142,actual=113), angular(max=23,actual=19).
Neighbor info at step 3000: radial(max=142,actual=113), angular(max=23,actual=19).
Neighbor info at step 4000: radial(max=142,actual=112), angular(max=23,actual=18).
Neighbor info at step 5000: radial(max=142,actual=115), angular(max=23,actual=19).
Neighbor info at step 6000: radial(max=142,actual=113), angular(max=23,actual=20).
Neighbor info at step 7000: radial(max=142,actual=111), angular(max=23,actual=18).
Neighbor info at step 8000: radial(max=142,actual=113), angular(max=23,actual=19).
Neighbor info at step 9000: radial(max=142,actual=114), angular(max=23,actual=18).
Neighbor info at step 10000: radial(max=142,actual=112), angular(max=23,actual=18).
